NTA,Av_Save,Total_Jobs
Steinway,11227.155714285715,20.0
East New York,48433.09333333333,15.0
Hunts Point,39246.016153846154,12.0
Maspeth,6658.283333333333,10.0
Whitestone,62038.306666666664,10.0
